query_number,execution_time(seconds)
1,0.17
2,1.59
3,0.12
4,2.26
5,1.22
6,1.13
7,0.94
8,0.76
9,10.63
10,0.62
11,2.17
12,0.33
13,1.56
14,6.85
15,1.14
16,0.48
17,1.77
18,1.06
19,0.49
20,0.53
21,0.85
22,3.69
23,14.52
24,1.08
25,1.27
26,0.94
27,1.0
28,4.13
29,3.84
30,0.16
31,1.3
32,0.08
33,0.73
34,0.47
35,1.05
36,1.07
37,0.08
38,2.02
39,2.58
40,0.58
41,0.06
42,0.39
43,0.75
44,0.82
45,0.61
46,0.9
47,4.63
48,1.92
49,0.97
50,0.89
51,2.93
52,1.13
53,0.97
54,0.47
55,0.39
56,0.8
57,1.01
58,0.86
59,0.7
60,0.8
61,0.07
62,0.34
63,1.01
64,1.33
65,1.04
66,1.66
67,4.96
68,0.9
69,0.76
70,4.41
71,0.83
72,5.13
73,0.47
74,1.0
75,1.38
76,0.58
77,1.09
78,2.26
79,0.74
80,1.02
81,0.58
82,1.03
83,0.26
84,0.15
85,4.23
86,0.36
87,1.04
88,2.11
89,2.05
90,0.4
91,0.54
92,0.08
93,1.54
94,0.27
95,0.9
96,0.26
97,2.08
98,1.61
99,0.69
