query_number,execution_time(seconds)
1,0.26
2,0.99
3,0.04
4,1.82
5,2.18
6,0.65
7,2.86
8,0.69
9,2.93
10,23.39
11,0.97
12,0.21
13,0.88
14,5.51
15,0.42
16,0.53
17,3.35
18,0.56
19,1.81
20,0.28
21,0.46
22,0.92
23,8.83
24,0.82
25,1.67
26,3.07
27,0.45
28,1.79
29,1.03
30,0.11
31,0.53
32,0.02
33,0.74
34,0.42
35,1.48
36,0.41
37,0.06
38,0.77
39,2.9
40,0.33
41,0.03
42,0.34
43,0.44
44,0.69
45,0.3
46,0.64
47,1.23
48,3.36
49,0.13
50,0.19
51,1.41
52,0.18
53,0.33
54,0.43
55,0.15
56,0.72
57,0.66
58,0.74
59,0.55
60,0.73
61,0.04
62,0.3
63,0.32
64,0.36
65,0.79
66,0.65
67,1.13
68,0.64
69,155.36
70,0.7
71,1.07
72,4.76
73,0.31
74,0.91
75,0.97
76,0.73
77,0.77
78,2.19
79,0.43
80,0.8
81,0.43
82,0.04
83,0.14
84,0.05
85,1.09
86,0.19
87,0.79
88,2.44
89,0.84
90,0.27
91,0.2
92,0.01
93,0.39
94,0.32
95,3.07
96,0.3
97,0.76
98,6.26
99,0.49
